PublicationID	PublicationYear
33603022	2021
38708280	2024
35213151	2022
35496610	2020
26564279	2016
27450299	2016
35631484	2022
35162725	2022
35518031	2019
36983915	2023
28012306	2017
34200473	2021
37861473	2023
38516589	2024
36134887	2022
35517674	2019
36111796	2023
34680037	2021
38075834	2023
27475778	2016
36312341	2022
32106590	2020
PPR629185	2023
37240437	2023
35518272	2020
31460344	2019
35799814	2022
33251341	2020
31115765	2019
37375309	2023
32550805	2020
29568666	2018
26830565	2016
35497295	2021
35516643	2020
27472069	2016
PPR606700	2022
31689919	2019
31459503	2019
35540644	2019
34760189	2021
38303949	2024
36615380	2022
29675184	2018
35542951	2018
34203315	2021
27599112	2016
36778753	2022
26364804	2016
36106569	2022
32864191	2020
23732330	2013
37064496	2023
31032045	2019
32903305	2019
30023745	2017
38476284	2024
35876275	2022
33917874	2021
36421459	2022
37780344	2023
26188294	2015
39014158	2024
35859870	2022
30966019	2017
31774202	2020
35254827	2022
36779970	2023
24239711	2014
31763127	2019
36199634	2022
25720830	2015
34835749	2021
37636948	2023
35480194	2021
35606349	2022
35516642	2020
26338089	2015
27435006	2016
27844009	2015
38732083	2024
35494132	2021
32962014	2020
35480461	2021
37834192	2023
36232306	2022
25123542	2014
37316928	2023
25459730	2015
33066163	2020
25311912	2015
37865818	2023
37790656	2023
34299482	2021
23295213	2013
36613788	2022
39157352	2024
30050563	2018
29283194	2018
34123483	2020
25311519	2015
30320522	2018
33787007	2021
37627696	2023
33681597	2021
24175330	2013
32889129	2020
25211349	2014
36530532	2022
34361616	2021
35517443	2020
34994113	2022
22842132	2012
25586906	2015
24963490	2014
22513096	2012
36140143	2022
25463665	2014
36982244	2023
24339327	2014
32872542	2020
35601332	2022
36772161	2023
22659280	2012
24223422	2014
29619182	2017
34439805	2021
38250999	2024
36411838	2022
24077022	2013
26751077	2016
24835946	2014
35187312	2022
36508994	2023
33143109	2020
31459155	2018
35425519	2022
24783553	2014
31354798	2019
29109516	2017
37441786	2023
35495480	2020
37647531	2023
29218167	2015
33063395	2021
35566232	2022
36012248	2022
23995603	2014
35518188	2020
33585746	2021
32301564	2020
23892202	2013
35889725	2022
33921819	2021
34068879	2021
34820356	2021
30177592	2018
34451857	2021
33228044	2020
27308196	2015
36194567	2022
35010113	2022
23169700	2012
23473538	2013
30469358	2018
36234904	2022
29404035	2017
27510286	2016
32258872	2020
29324720	2018
29675239	2018
31991555	2020
27584012	2016
31459078	2018
34779147	2022
30087942	2018
39860113	2025
23200377	2013
35915641	2022
32545422	2020
23984366	2013
34944591	2021
23178367	2013
PMC8676600	2018
34512175	2021
35647673	2022
23590249	2013
33531508	2021
24056312	2014
28608592	2017
25238495	2014
33078454	2021
30791180	2019
30109009	2018
33228104	2020
36365227	2022
