PublicationID	PublicationYear
3517009	1986
15134923	2004
4560694	1972
4524646	1974
3663167	1987
2178920	1990
5288367	1971
942370	1976
4038254	1985
16592059	1973
7826323	1995
24506795	2014
1540693	1992
407216	1977
264668	1977
6090429	1984
2981811	1985
2539805	1989
629752	1978
6168310	1981
10975567	2000
3019305	1986
275838	1978
1061094	1975
14060650	1963
209458	1978
4333976	1972
4583244	1973
5657452	1968
11842110	2002
20662514	2010
5229853	1966
287009	1979
7241089	1981
19873660	1969
985413	1976
4557772	1972
4898917	1969
4436437	1974
3277190	1988
6776538	1980
497538	1979
4256895	1971
1567370	1992
23377850	2013
7251857	1981
12547804	2003
1069284	1976
9789685	1998
6161205	1981
6950409	1981
9457875	1998
5327953	1966
4364470	1974
5231348	1967
5044579	1972
4867670	1967
1182339	1975
1475180	1992
4317918	1970
7426829	1980
16742544	1967
942376	1976
6249269	1980
893681	1977
4616945	1974
206258	1978
5664206	1968
5413330	1970
PMC6610572	2019
PMC8551951	2021
PMC4261149	2014
18085482	2007
